count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,851963606,0,851963606,0,0
52,851967718,0,851967718,0,0
53,851962429,0,851962429,0,0
54,851961461,0,851961461,0,0
55,851962813,0,851962813,0,0
56,851963235,0,851963235,0,0
57,851962106,0,851962106,0,0
58,851963318,0,851963318,0,0
59,851963270,0,851963270,0,0
60,851963742,0,851963742,0,0
61,851962514,0,851962514,0,0
62,851962795,0,851962795,0,0
63,851962738,0,851962738,0,0
64,851962219,0,851962219,0,0
65,851966472,0,851966472,0,0
66,851964453,0,851964453,0,0
67,851962144,0,851962144,0,0
68,851966057,0,851966057,0,0
69,851962168,0,851962168,0,0
70,851963120,0,851963120,0,0
71,851962372,0,851962372,0,0
72,851962694,0,851962694,0,0
73,851962387,0,851962387,0,0
74,851963809,0,851963809,0,0
75,851963210,0,851963210,0,0
76,851961952,0,851961952,0,0
77,851962144,0,851962144,0,0
78,851961776,0,851961776,0,0
79,851962118,0,851962118,0,0
80,851968969,0,851968969,0,0
81,851963432,0,851963432,0,0
82,851962243,0,851962243,0,0
83,851960994,0,851960994,0,0
84,851966567,0,851966567,0,0
85,852054679,0,852054679,0,0
86,851983061,0,851983061,0,0
87,851961812,0,851961812,0,0
88,851961134,0,851961134,0,0
89,851961246,0,851961246,0,0
90,851961337,0,851961337,0,0
91,851961170,0,851961170,0,0
92,851960601,0,851960601,0,0
93,851959883,0,851959883,0,0
94,851968704,0,851968704,0,0
95,851961686,0,851961686,0,0
96,851961488,0,851961488,0,0
97,851960659,0,851960659,0,0
98,851965901,0,851965901,0,0
99,851960353,0,851960353,0,0
100,851963525,0,851963525,0,0
101,851959466,0,851959466,0,0
102,851960719,0,851960719,0,0
103,851961040,0,851961040,0,0
104,851959713,0,851959713,0,0
105,851960734,0,851960734,0,0
106,851960695,0,851960695,0,0
107,851961138,0,851961138,0,0
108,851963059,0,851963059,0,0
109,851962942,0,851962942,0,0
110,851960403,0,851960403,0,0
111,851962585,0,851962585,0,0
112,851961577,0,851961577,0,0
113,851960508,0,851960508,0,0
114,851960890,0,851960890,0,0
115,851960322,0,851960322,0,0
116,851964014,0,851964014,0,0
117,851961966,0,851961966,0,0
118,851960818,0,851960818,0,0
119,851960489,0,851960489,0,0
120,851961051,0,851961051,0,0
121,851962973,0,851962973,0,0
122,851964185,0,851964185,0,0
123,851963298,0,851963298,0,0
124,851962419,0,851962419,0,0
125,851962012,0,851962012,0,0
126,851962053,0,851962053,0,0
127,851960544,0,851960544,0,0
128,851962127,0,851962127,0,0
129,851961048,0,851961048,0,0
130,851962581,0,851962581,0,0
131,851966632,0,851966632,0,0
132,851963304,0,851963304,0,0
133,851960766,0,851960766,0,0
134,851960017,0,851960017,0,0
135,851962030,0,851962030,0,0
136,851961160,0,851961160,0,0
137,851961052,0,851961052,0,0
138,851961004,0,851961004,0,0
139,851961106,0,851961106,0,0
140,851961868,0,851961868,0,0
141,851960680,0,851960680,0,0
142,851960301,0,851960301,0,0
143,851960863,0,851960863,0,0
144,851961045,0,851961045,0,0
145,851961176,0,851961176,0,0
146,851960299,0,851960299,0,0
147,851961580,0,851961580,0,0
148,851964943,0,851964943,0,0
149,851963224,0,851963224,0,0
150,851965115,0,851965115,0,0
151,851962618,0,851962618,0,0
152,851960889,0,851960889,0,0
153,851962152,0,851962152,0,0
154,851962483,0,851962483,0,0
155,851959995,0,851959995,0,0
156,851960427,0,851960427,0,0
157,851961179,0,851961179,0,0
158,851961370,0,851961370,0,0
159,851960552,0,851960552,0,0
160,851960624,0,851960624,0,0
161,851961696,0,851961696,0,0
162,851960858,0,851960858,0,0
163,851962659,0,851962659,0,0
164,851971232,0,851971232,0,0
165,851960643,0,851960643,0,0
166,851961796,0,851961796,0,0
167,851960907,0,851960907,0,0
168,851961279,0,851961279,0,0
169,851960121,0,851960121,0,0
170,851961872,0,851961872,0,0
171,851959035,0,851959035,0,0
172,851961497,0,851961497,0,0
173,851960759,0,851960759,0,0
174,851960431,0,851960431,0,0
175,851961013,0,851961013,0,0
176,851960615,0,851960615,0,0
177,851962215,0,851962215,0,0
178,851962177,0,851962177,0,0
179,851961159,0,851961159,0,0
180,851964221,0,851964221,0,0
181,851960753,0,851960753,0,0
182,851960515,0,851960515,0,0
183,851960516,0,851960516,0,0
184,851962519,0,851962519,0,0
185,851961330,0,851961330,0,0
186,851961911,0,851961911,0,0
187,851960684,0,851960684,0,0
188,851963765,0,851963765,0,0
189,851962018,0,851962018,0,0
190,851965549,0,851965549,0,0
191,851964761,0,851964761,0,0
192,851960083,0,851960083,0,0
193,851959745,0,851959745,0,0
194,851960487,0,851960487,0,0
195,851960008,0,851960008,0,0
196,851963980,0,851963980,0,0
197,851968922,0,851968922,0,0
198,851960654,0,851960654,0,0
199,851958966,0,851958966,0,0
200,851961048,0,851961048,0,0
201,851960229,0,851960229,0,0
202,851960392,0,851960392,0,0
203,851960773,0,851960773,0,0
204,851965025,0,851965025,0,0
205,851961797,0,851961797,0,0
206,851963248,0,851963248,0,0
207,851961901,0,851961901,0,0
208,851961532,0,851961532,0,0
209,851961615,0,851961615,0,0
210,851961856,0,851961856,0,0
211,851960557,0,851960557,0,0
212,851964410,0,851964410,0,0
213,851959051,0,851959051,0,0
214,851961674,0,851961674,0,0
215,851961195,0,851961195,0,0
216,851960697,0,851960697,0,0
217,851961449,0,851961449,0,0
218,851964461,0,851964461,0,0
219,851963882,0,851963882,0,0
220,851962713,0,851962713,0,0
221,851960785,0,851960785,0,0
222,851962098,0,851962098,0,0
223,851960350,0,851960350,0,0
224,851960792,0,851960792,0,0
225,851961084,0,851961084,0,0
226,851962095,0,851962095,0,0
227,851959467,0,851959467,0,0
228,851963549,0,851963549,0,0
229,851961651,0,851961651,0,0
230,851965373,0,851965373,0,0
231,851960904,0,851960904,0,0
232,851961607,0,851961607,0,0
233,851961348,0,851961348,0,0
234,851966701,0,851966701,0,0
235,851960402,0,851960402,0,0
236,851960523,0,851960523,0,0
237,851961106,0,851961106,0,0
238,851960627,0,851960627,0,0
239,851962189,0,851962189,0,0
240,851960911,0,851960911,0,0
241,851959992,0,851959992,0,0
242,851960045,0,851960045,0,0
243,851960256,0,851960256,0,0
244,851963938,0,851963938,0,0
245,851960520,0,851960520,0,0
246,851960992,0,851960992,0,0
247,851961784,0,851961784,0,0
248,851959925,0,851959925,0,0
249,851960107,0,851960107,0,0
250,851961209,0,851961209,0,0
251,851960631,0,851960631,0,0
252,851960443,0,851960443,0,0
253,851960745,0,851960745,0,0
254,851961906,0,851961906,0,0
255,851960728,0,851960728,0,0
256,851961830,0,851961830,0,0
257,851961012,0,851961012,0,0
258,851960084,0,851960084,0,0
259,851960475,0,851960475,0,0
260,851962297,0,851962297,0,0
261,851961398,0,851961398,0,0
262,851962180,0,851962180,0,0
263,851968592,0,851968592,0,0
264,851960923,0,851960923,0,0
265,851960536,0,851960536,0,0
266,851961397,0,851961397,0,0
267,851959670,0,851959670,0,0
268,851961131,0,851961131,0,0
269,851960692,0,851960692,0,0
270,851960815,0,851960815,0,0
271,851960866,0,851960866,0,0
272,851960780,0,851960780,0,0
273,851961481,0,851961481,0,0
274,851964143,0,851964143,0,0
275,851960745,0,851960745,0,0
276,851963316,0,851963316,0,0
277,851960118,0,851960118,0,0
278,851960600,0,851960600,0,0
279,851959852,0,851959852,0,0
280,851960264,0,851960264,0,0
281,851959516,0,851959516,0,0
282,851961007,0,851961007,0,0
283,851961699,0,851961699,0,0
284,851962171,0,851962171,0,0
285,851961403,0,851961403,0,0
286,851960005,0,851960005,0,0
287,851961246,0,851961246,0,0
288,851963379,0,851963379,0,0
289,851962480,0,851962480,0,0
290,851963212,0,851963212,0,0
291,851961384,0,851961384,0,0
292,851964807,0,851964807,0,0
293,851961238,0,851961238,0,0
294,851960990,0,851960990,0,0
295,851960472,0,851960472,0,0
296,851964633,0,851964633,0,0
297,851960936,0,851960936,0,0
298,851960837,0,851960837,0,0
299,851960289,0,851960289,0,0
300,851960591,0,851960591,0,0
301,851961053,0,851961053,0,0
302,851961244,0,851961244,0,0
303,851961035,0,851961035,0,0
304,851961007,0,851961007,0,0
305,851960389,0,851960389,0,0
306,851961771,0,851961771,0,0
307,851959612,0,851959612,0,0
308,851963075,0,851963075,0,0
309,851961316,0,851961316,0,0
310,851961158,0,851961158,0,0
311,851960620,0,851960620,0,0
312,851959721,0,851959721,0,0
313,851960534,0,851960534,0,0
314,851961725,0,851961725,0,0
315,851962318,0,851962318,0,0
316,851961569,0,851961569,0,0
317,851961871,0,851961871,0,0
318,851962933,0,851962933,0,0
319,851961335,0,851961335,0,0
320,851962907,0,851962907,0,0
321,851961698,0,851961698,0,0
322,851961441,0,851961441,0,0
323,851960133,0,851960133,0,0
324,851963415,0,851963415,0,0
325,851960517,0,851960517,0,0
326,851959849,0,851959849,0,0
327,851960370,0,851960370,0,0
328,851960512,0,851960512,0,0
329,851966204,0,851966204,0,0
330,851961406,0,851961406,0,0
331,851960678,0,851960678,0,0
332,851960349,0,851960349,0,0
333,851960642,0,851960642,0,0
334,851960293,0,851960293,0,0
335,851959895,0,851959895,0,0
336,851960777,0,851960777,0,0
337,851960588,0,851960588,0,0
338,851960551,0,851960551,0,0
339,851959602,0,851959602,0,0
340,851963735,0,851963735,0,0
341,851961516,0,851961516,0,0
342,851960587,0,851960587,0,0
343,851961659,0,851961659,0,0
344,851960640,0,851960640,0,0
345,851961812,0,851961812,0,0
346,851965214,0,851965214,0,0
347,851960356,0,851960356,0,0
348,851960388,0,851960388,0,0
349,851966609,0,851966609,0,0
350,851963871,0,851963871,0,0
351,851962623,0,851962623,0,0
352,851960525,0,851960525,0,0
353,851963237,0,851963237,0,0
354,851961699,0,851961699,0,0
355,851961810,0,851961810,0,0
356,851965112,0,851965112,0,0
357,851964464,0,851964464,0,0
358,851961465,0,851961465,0,0
359,851960328,0,851960328,0,0
360,851958859,0,851958859,0,0
361,851960582,0,851960582,0,0
362,851965043,0,851965043,0,0
363,851961724,0,851961724,0,0
364,851960557,0,851960557,0,0
365,851964458,0,851964458,0,0
366,851961711,0,851961711,0,0
367,851959082,0,851959082,0,0
368,851960524,0,851960524,0,0
369,851965886,0,851965886,0,0
370,851960747,0,851960747,0,0
371,851965370,0,851965370,0,0
372,851967942,0,851967942,0,0
373,851963464,0,851963464,0,0
374,851966016,0,851966016,0,0
375,851961708,0,851961708,0,0
376,851960259,0,851960259,0,0
377,851961261,0,851961261,0,0
378,851961133,0,851961133,0,0
379,851961625,0,851961625,0,0
380,851960817,0,851960817,0,0
381,851959968,0,851959968,0,0
382,851960941,0,851960941,0,0
383,851961152,0,851961152,0,0
384,851961225,0,851961225,0,0
385,851962745,0,851962745,0,0
386,851962316,0,851962316,0,0
387,851961629,0,851961629,0,0
388,851963780,0,851963780,0,0
389,851960893,0,851960893,0,0
390,851960564,0,851960564,0,0
391,851960346,0,851960346,0,0
392,851961738,0,851961738,0,0
393,851959989,0,851959989,0,0
394,851961271,0,851961271,0,0
395,851964043,0,851964043,0,0
396,851960855,0,851960855,0,0
397,851960787,0,851960787,0,0
398,851960729,0,851960729,0,0
399,851961750,0,851961750,0,0
400,851961102,0,851961102,0,0
401,851961894,0,851961894,0,0
402,851962256,0,851962256,0,0
403,851960628,0,851960628,0,0
404,851964569,0,851964569,0,0
405,851960612,0,851960612,0,0
406,851961653,0,851961653,0,0
407,851959955,0,851959955,0,0
408,851960797,0,851960797,0,0
409,851958718,0,851958718,0,0
410,851960301,0,851960301,0,0
411,851961892,0,851961892,0,0
412,851961265,0,851961265,0,0
413,851960466,0,851960466,0,0
414,851960077,0,851960077,0,0
415,851961890,0,851961890,0,0
416,851962901,0,851962901,0,0
417,851961274,0,851961274,0,0
418,851961095,0,851961095,0,0
419,851960386,0,851960386,0,0
420,851963909,0,851963909,0,0
421,851960620,0,851960620,0,0
422,851961163,0,851961163,0,0
423,851960805,0,851960805,0,0
424,851960907,0,851960907,0,0
425,851961099,0,851961099,0,0
426,851962029,0,851962029,0,0
427,851961131,0,851961131,0,0
428,851965673,0,851965673,0,0
429,851961345,0,851961345,0,0
430,851961877,0,851961877,0,0
431,851960858,0,851960858,0,0
432,851961050,0,851961050,0,0
433,851961742,0,851961742,0,0
434,851960644,0,851960644,0,0
435,851960176,0,851960176,0,0
436,851964058,0,851964058,0,0
437,851961269,0,851961269,0,0
438,851960521,0,851960521,0,0
439,851960943,0,851960943,0,0
440,851961015,0,851961015,0,0
441,851961657,0,851961657,0,0
442,851961248,0,851961248,0,0
443,851962831,0,851962831,0,0
444,851960632,0,851960632,0,0
445,851980234,0,851980234,0,0
446,851964006,0,851964006,0,0
447,851961357,0,851961357,0,0
448,851961710,0,851961710,0,0
449,851961441,0,851961441,0,0
450,851960853,0,851960853,0,0
451,851960415,0,851960415,0,0
452,851963656,0,851963656,0,0
453,851959549,0,851959549,0,0
454,851960920,0,851960920,0,0
455,851961453,0,851961453,0,0
456,851960534,0,851960534,0,0
457,851960616,0,851960616,0,0
458,851963778,0,851963778,0,0
459,851961799,0,851961799,0,0
460,851959551,0,851959551,0,0
461,851963803,0,851963803,0,0
462,851961075,0,851961075,0,0
463,851960887,0,851960887,0,0
464,851961449,0,851961449,0,0
465,851961670,0,851961670,0,0
466,851960842,0,851960842,0,0
467,851958774,0,851958774,0,0
468,851966885,0,851966885,0,0
469,851963877,0,851963877,0,0
470,851961468,0,851961468,0,0
471,851962121,0,851962121,0,0
472,851962463,0,851962463,0,0
473,851961265,0,851961265,0,0
474,851960537,0,851960537,0,0
475,851960028,0,851960028,0,0
476,851960921,0,851960921,0,0
477,851960422,0,851960422,0,0
478,851959985,0,851959985,0,0
479,851960716,0,851960716,0,0
480,851961258,0,851961258,0,0
481,851960600,0,851960600,0,0
482,851962321,0,851962321,0,0
483,851963224,0,851963224,0,0
484,851963155,0,851963155,0,0
485,851960287,0,851960287,0,0
486,851962579,0,851962579,0,0
487,851960831,0,851960831,0,0
488,851959283,0,851959283,0,0
489,851961305,0,851961305,0,0
490,851962556,0,851962556,0,0
491,851961378,0,851961378,0,0
492,851961120,0,851961120,0,0
493,851960732,0,851960732,0,0
494,851965624,0,851965624,0,0
495,851967195,0,851967195,0,0
496,851960728,0,851960728,0,0
497,851962849,0,851962849,0,0
498,851961452,0,851961452,0,0
499,851961923,0,851961923,0,0
500,851963704,0,851963704,0,0
501,851960787,0,851960787,0,0
502,851964038,0,851964038,0,0
503,851961401,0,851961401,0,0
504,851961052,0,851961052,0,0
505,851961014,0,851961014,0,0
506,851960936,0,851960936,0,0
507,851961057,0,851961057,0,0
508,851960869,0,851960869,0,0
509,851963461,0,851963461,0,0
510,851961942,0,851961942,0,0
511,851961254,0,851961254,0,0
512,851960256,0,851960256,0,0
513,851961327,0,851961327,0,0
514,851963149,0,851963149,0,0
515,851961061,0,851961061,0,0
516,851975313,0,851975313,0,0
517,851968755,0,851968755,0,0
518,851977197,0,851977197,0,0
519,851967179,0,851967179,0,0
520,851971140,0,851971140,0,0
521,851974983,0,851974983,0,0
522,851975185,0,851975185,0,0
523,851977307,0,851977307,0,0
524,851974159,0,851974159,0,0
525,851976860,0,851976860,0,0
526,851980323,0,851980323,0,0
527,851985854,0,851985854,0,0
528,851973905,0,851973905,0,0
529,851977868,0,851977868,0,0
530,851981049,0,851981049,0,0
531,851978892,0,851978892,0,0
532,851986073,0,851986073,0,0
533,851985526,0,851985526,0,0
534,851976917,0,851976917,0,0
535,851980148,0,851980148,0,0
536,851982261,0,851982261,0,0
537,851985632,0,851985632,0,0
538,851983935,0,851983935,0,0
539,851986766,0,851986766,0,0
540,851990458,0,851990458,0,0
541,851994270,0,851994270,0,0
542,851994901,0,851994901,0,0
543,851985813,0,851985813,0,0
544,851989015,0,851989015,0,0
545,851986507,0,851986507,0,0
546,851979349,0,851979349,0,0
547,851960901,0,851960901,0,0
548,851964152,0,851964152,0,0
549,851960274,0,851960274,0,0
550,851960426,0,851960426,0,0
551,851963657,0,851963657,0,0
552,851961249,0,851961249,0,0
553,851961980,0,851961980,0,0
554,851961263,0,851961263,0,0
555,851961084,0,851961084,0,0
556,851963796,0,851963796,0,0
557,851962718,0,851962718,0,0
558,851961209,0,851961209,0,0
559,851961932,0,851961932,0,0
560,851965943,0,851965943,0,0
561,851962275,0,851962275,0,0
562,851960577,0,851960577,0,0
563,851961389,0,851961389,0,0
564,851965291,0,851965291,0,0
565,851961172,0,851961172,0,0
566,851960504,0,851960504,0,0
567,851961926,0,851961926,0,0
568,851960528,0,851960528,0,0
569,851960610,0,851960610,0,0
570,851962712,0,851962712,0,0
571,851960774,0,851960774,0,0
572,851959176,0,851959176,0,0
573,851961758,0,851961758,0,0
574,851962250,0,851962250,0,0
575,851960442,0,851960442,0,0
576,851961693,0,851961693,0,0
577,851961496,0,851961496,0,0
578,851961737,0,851961737,0,0
579,851963750,0,851963750,0,0
580,851965671,0,851965671,0,0
581,851960942,0,851960942,0,0
582,851962275,0,851962275,0,0
583,851960826,0,851960826,0,0
584,851960279,0,851960279,0,0
585,851961110,0,851961110,0,0
586,851964961,0,851964961,0,0
587,851960584,0,851960584,0,0
588,851961495,0,851961495,0,0
589,851960538,0,851960538,0,0
